K0	 v0	 ero_rate	 depo_rate	 RRMSE
0.400000	 0.001000	 -0.005000	 0.001000	 4.884600
0.400000	 0.001000	 -0.005000	 0.001250	 4.912360
0.400000	 0.001000	 -0.005000	 0.001500	 4.959933
0.400000	 0.001000	 -0.005000	 0.001750	 5.024982
0.400000	 0.001000	 -0.005000	 0.002000	 5.104928
0.400000	 0.001000	 -0.005000	 0.002250	 5.197077
0.400000	 0.001000	 -0.005000	 0.002500	 5.298757
0.400000	 0.001000	 -0.005000	 0.002750	 5.407408
0.400000	 0.001000	 -0.005000	 0.003000	 5.520667
0.400000	 0.001000	 -0.004500	 0.001000	 4.645098
0.400000	 0.001000	 -0.004500	 0.001250	 4.674282
0.400000	 0.001000	 -0.004500	 0.001500	 4.724252
