summit		slope		hollow		plain	
carbon(%)	depth(cm)	carbon(%)	depth(cm)	carbon(%)	depth(cm)	carbon(%)	depth(cm)
4.87248	2.06537	2.55705	2.53851	2.83893	1.86788	4.57047	1.51405
4.10738	8.965	1.95302	22.8918	2.25503	11.1826	3.60403	9.68089
3.14094	21.423	1.4094	37.7155	2.11409	22.2459	2.79866	22.106
1.48993	35.86	0.946309	52.5228	1.73154	35.8106	2.1745	38.1722
0.58389	56.8881	0.845638	67.8591	1.22819	51.8522	1.93289	52.3212
		0.986577	82.5529	0.986577	66.0012	1.75168	67.0709
				0.744966	82.6023	1.51007	82.4459
						1.24832	97.2121
