summit		slope		hollow		plain	
carbon14	depth(cm)	carbon14	depth(cm)	carbon14	depth(cm)	carbon14	depth(cm)
25	3	21	3	-25	3	72	3
5	8	-2	8	-51	8	-29	8
-5	13	-31	13	-76	13	-55	13
-15	18	-65	18	-101	18	-67	18
-39	23	-98	23	-127	23	-82	23
-88	28	-134	28	-153	28	-106	28
-145	33	-185	33	-179	33	-127	33
-211	38	-217	38	-195	38	-155	38
-270	43	-250	43	-219	43	-178	43
-315	48	-286	48	-241	48	-199	48
-350	53	-316	53	-263	53	-215	53
-365	58	-343	58	-292	58	-230	58
-400	63	-380	63	-314	63	-244	63
-419	68	-422	68	-336	68	-256	68
-442	73	-478	73	-358	73	-269	73
-464	78	-526	78	-380	78	-288	78
-486	83	-541	83	-402	83	-300	83
-500	88	-553	88	-424	88	-311	88
-530	93	-556	93	-446	93	-329	93
-550	98	-561	98	-469	98	-343	98

