summit		slope		hollow		plain	
carbon(%)	depth(cm)	carbon(%)	depth(cm)	carbon(%)	depth(cm)	carbon(%)	depth(cm)
4.84	3	2.56	3	2.82	3	4.57	3
4.58	8	2.4	8	2.49	8	3.7	8
4.26	13	2.2	13	2.31	13	3.28	13
3.78	18	2.1	18	2.21	18	2.83	18
3.13	23	1.95	23	2.13	23	2.7	23
2.46	28	1.8	28	2.08	28	2.5	28
1.93	33	1.6	33	1.94	33	2.4	33
1.63	38	1.4	38	1.75	38	2.32	38
1.29	43	1.3	43	1.53	43	2.15	43
0.98	48	1.15	48	1.34	48	2.05	48
0.67	53	1.1	53	1.15	53	1.95	53
0.45	58	0.99	58	1.03	58	1.9	58
0.34	63	0.94	63	0.97	63	1.85	63
0.23	68	0.92	68	0.93	68	1.75	68
0.16	73	0.92	73	0.88	73	1.7	73
0.14	78	0.92	78	0.83	78	1.6	78
0.1	83	0.9	83	0.8	83	1.55	83
0.09	88	0.86	88	0.77	88	1.5	88
0.09	93	0.85	93	0.75	93	1.45	93
0.09	98	0.83	98	0.73	98	1.43	98
