plateau HB		concave HB		convex HB	
C (%)	depth (cm)	C (%)	depth (cm)	C (%)	depth (cm)
0.685288641	2.058823529	0.677839851	2.064896755	0.588585825	1.764705882
0.677839851	6.176470588	0.677839851	5.899705015	0.573994961	5.882352941
0.69273743	9.705882353	0.685288641	10.02949853	0.499791872	9.705882353
0.767225326	13.82352941	0.677839851	13.86430678	0.552240114	13.82352941
0.707635009	17.94117647	0.677839851	17.99410029	0.53020046	17.94117647
0.70018622	22.05882353	0.729981378	21.82890855	0.537934056	21.76470588
0.648044693	25.88235294	0.685288641	25.95870206	0.530791982	25.88235294
0.461824953	29.70588235	0.662942272	29.79351032	0.374674115	30
0.35009311	33.82352941	0.603351955	33.92330383	0.23343192	33.82352941
0.260707635	37.94117647	0.573556797	38.05309735	0.196472779	37.64705882
0.238361266	41.76470588	0.573556797	41.8879056	0.189352613	42.05882353
0.201117318	45.88235294	0.469273743	46.01769912	0.159842261	45.88235294
0.186219739	50	0.379888268	49.85250737	0.145229488	49.70588235
0.163873371	53.82352941	0.312849162	53.98230088	0.138087414	53.82352941
0.156424581	57.94117647	0.290502793	58.1120944	0.145842918	57.94117647
0.148975791	62.05882353	0.305400372	61.94690265	0.138700843	62.05882353
0.141527002	66.17647059	0.253258845	65.78171091	0.118129039	85.88235294
0.126629423	70	0.230912477	69.91150442		
0.126629423	74.11764706	0.201117318	74.04129794		
0.126629423	77.94117647	0.216014898	78.17109145		
0.126629423	81.76470588	0.216014898	82.30088496		
0.134078212	85.88235294	0.201117318	86.13569322		
