plateau_deltaC13	plateau_depth	concave_deltaC13	concave_depth	convex_deltaC13	convex_depth
-27.2	2.046783626	-27.65742574	2.046783626	-27.04752475	2.046783626
-27.11683168	6.140350877	-27.67128713	5.847953216	-27.17227723	6.140350877
-27.24158416	9.941520468	-27.71287129	9.941520468	-27.17227723	9.941520468
-27.14455446	14.03508772	-27.71287129	13.74269006	-27.11683168	14.03508772
-26.96435644	17.83625731	-27.83762376	18.12865497	-27.04752475	18.12865497
-27.28316832	21.92982456	-27.49108911	21.92982456	-27.13069307	21.92982456
-27.38019802	26.02339181	-27.43564356	26.02339181	-26.88118812	26.02339181
-26.09108911	33.91812865	-27.33861386	30.11695906	-26.47920792	30.11695906
-25.85544554	38.01169591	-26.99207921	33.91812865	-25.7029703	33.91812865
-25.8970297	45.90643275	-26.86732673	37.71929825	-25.19009901	38.01169591
-25.77227723	50	-26.6039604	41.8128655	-24.76039604	42.10526316
-25.85544554	53.80116959	-26.63168317	45.90643275	-24.17821782	50
-25.31485149	57.89473684	-26.18811881	50	-25.48118812	54.09356725
-25.59207921	61.98830409	-26.21584158	54.09356725	-25.07920792	57.89473684
-24.92673267	65.78947368	-26.21584158	57.89473684	-25.13465347	61.98830409
-25.43960396	69.88304094	-26.36831683	61.98830409	-25.55049505	85.96491228
-25.34257426	73.97660819	-26.02178218	65.78947368		
-25.25940594	78.07017544	-26.09108911	69.88304094		
-25.91089109	81.87134503	-26.13267327	73.97660819		
-24.88514851	85.96491228	-26.35445545	78.07017544		
		-26.27128713	82.16374269		
		-25.71683168	86.25730994		
