plateau_deltaC13	plateau_depth	concave_deltaC13	concave_depth	convex_deltaC13	convex_depth
-27.19009901	3	-27.71841584	3	-27.11452145	3
-27.19009901	8	-27.71841584	8	-27.11452145	8
-27.19009901	13	-27.71841584	13	-27.11452145	13
-27.19009901	18	-27.71841584	18	-27.11452145	18
-27.19009901	23	-27.71841584	23	-27.11452145	23
-26.5	28	-27.35	28	-26.7	28
-26.1	33	-27	33	-25.7	33
-26	38	-26.85	38	-25.5	38
-25.9	43	-26.63	43	-25.3	43
-25.8	48	-26.5	48	-25.1	48
-25.7	53	-26.4	53	-25	53
-25.6	58	-26.3	58	-24.9	58
-25.5	63	-26.2	63	-24.85	63
-25.4	68	-26.15	68	-24.8	68
-25.3	73	-26.1	73	-24.75	73
-25.2	78	-26.05	78	-24.74	78
-25.1	83	-26	83	-24.74	83
-25	88	-25.95	88	-24.74	88
-24.95	93	-25.93	93	-24.74	93
-24.9	98	-25.91	98	-24.74	98
