plateau HB		concave HB		convex HB	
C (%)	depth (cm)	C (%)	depth (cm)	C (%)	depth (cm)
0.679329609	3	0.706	3	0.55	3
0.679329609	8	0.706	8	0.55	8
0.679329609	13	0.706	13	0.55	13
0.679329609	18	0.706	18	0.55	18
0.679329609	23	0.706	23	0.55	23
0.65	28	0.65	28	0.4	28
0.35	33	0.61	33	0.25	33
0.26	38	0.57	38	0.2	38
0.24	43	0.5	43	0.18	43
0.19	48	0.44	48	0.15	48
0.16	53	0.31	53	0.14	53
0.16	58	0.29	58	0.14	58
0.14	63	0.26	63	0.14	63
0.14	68	0.24	68	0.13	68
0.14	73	0.22	73	0.13	73
0.14	78	0.216	78	0.13	78
0.13	83	0.21	83	0.13	83
0.13	88	0.21	88	0.13	88
0.13	93	0.21	93	0.13	93
0.13	98	0.21	98	0.13	98

